iter	Passed	Remaining
407	4858	7049
408	4868	7035
409	4878	7020
410	4889	7007
411	4900	6993
412	4910	6979
413	4922	6967
414	4931	6951
415	4940	6935
416	4950	6921
417	4960	6907
418	4971	6893
419	4982	6880
420	4994	6869
421	5006	6856
422	5016	6842
423	5029	6832
424	5041	6820
425	5052	6807
426	5065	6797
427	5078	6786
428	5088	6773
429	5101	6762
430	5113	6750
431	5126	6740
432	5139	6730
433	5153	6720
434	5166	6710
435	5179	6699
436	5191	6688
437	5203	6677
438	5216	6666
439	5229	6655
440	5243	6646
441	5254	6632
442	5265	6620
443	5276	6607
444	5286	6593
445	5298	6581
446	5309	6568
447	5319	6554
448	5331	6542
449	5341	6528
450	5350	6513
451	5361	6499
452	5371	6485
453	5388	6480
454	5408	6478
455	5429	6477
456	5450	6476
457	5468	6471
458	5487	6468
459	5505	6463
460	5520	6454
461	5535	6445
462	5550	6437
463	5567	6431
464	5582	6423
465	5599	6416
466	5612	6406
467	5626	6396
468	5640	6386
469	5654	6376
470	5666	6364
471	5677	6351
472	5688	6337
473	5698	6323
474	5711	6312
475	5724	6302
476	5738	6291
477	5751	6280
478	5763	6268
479	5774	6255
480	5787	6244
481	5799	6232
482	5810	6219
483	5823	6208
484	5834	6195
485	5848	6185
486	5861	6174
487	5875	6164
488	5886	6151
489	5897	6138
490	5909	6126
491	5922	6114
492	5932	6100
493	5943	6088
494	5957	6077
495	5969	6065
496	5982	6054
497	5995	6044
498	6009	6033
499	6027	6027
500	6039	6015
501	6051	6002
502	6064	5992
503	6077	5980
504	6091	5971
505	6106	5961
506	6118	5949
507	6129	5936
508	6139	5922
509	6150	5909
510	6161	5895
511	6172	5883
512	6183	5870
513	6194	5857
514	6203	5842
515	6215	5829
516	6225	5816
517	6236	5803
518	6248	5790
519	6258	5776
520	6271	5765
521	6285	5755
522	6296	5742
523	6306	5729
524	6318	5717
525	6330	5704
526	6340	5690
527	6351	5677
528	6364	5666
529	6374	5652
530	6382	5637
531	6394	5625
532	6403	5610
533	6415	5598
534	6426	5585
535	6437	5572
536	6449	5560
537	6459	5546
538	6469	5533
539	6480	5520
540	6491	5507
541	6500	5492
542	6511	5479
543	6521	5466
544	6533	5454
545	6544	5441
546	6553	5427
547	6564	5414
548	6575	5401
549	6586	5388
550	6597	5375
551	6609	5364
552	6620	5351
553	6633	5340
