iter	Logloss
0	0.671876474
1	0.6527454527
2	0.634979032
3	0.6175297713
4	0.6028856886
5	0.5896791923
6	0.5766165405
7	0.5650462348
8	0.555749988
9	0.5449967958
10	0.5348436129
11	0.5266080968
12	0.517864609
13	0.5092843106
14	0.502836291
15	0.4961961707
16	0.4899275523
17	0.4837100735
18	0.4774445905
19	0.4725701732
20	0.4676285462
21	0.4618720936
22	0.4577202314
23	0.4524253403
24	0.4476782653
25	0.4439271455
26	0.4399382757
27	0.4368869381
28	0.4334865448
29	0.4310712844
30	0.427517391
31	0.4242170441
32	0.422036252
33	0.420066375
34	0.4174825285
35	0.4154164919
36	0.4137976606
37	0.4113702528
38	0.40931355
39	0.4073948725
40	0.4051132994
41	0.4027105707
42	0.4005945949
43	0.3989054066
44	0.3969230916
45	0.3949726818
46	0.3931635598
47	0.3915236481
48	0.3897369822
49	0.3884580119
50	0.3873793384
51	0.3849494123
52	0.3834289253
53	0.382037173
54	0.3806943203
55	0.379472873
56	0.3778156907
57	0.3765154887
58	0.3753583175
59	0.3738104314
60	0.3726775408
61	0.3715569536
62	0.3710410957
63	0.3689274917
64	0.3677792534
65	0.3670858404
66	0.3662672073
67	0.3652252212
68	0.3646219396
69	0.3628733343
70	0.3614421818
71	0.3604791112
72	0.3594084368
73	0.3586503804
74	0.3575818546
75	0.3565032988
76	0.3555095737
77	0.3549085633
78	0.3543466216
79	0.3533740707
80	0.3524114682
81	0.3513563455
82	0.3507879652
83	0.3500393915
84	0.3491468508
85	0.3476607585
86	0.3467713435
87	0.3460733019
88	0.345231567
89	0.3444603427
90	0.3440130101
91	0.3433175036
92	0.3428081491
93	0.3421335983
94	0.3417130645
95	0.3403716691
96	0.3395356166
97	0.3389099894
98	0.3379838702
99	0.3374619913
100	0.3369971768
101	0.3366579064
102	0.3362862339
103	0.3354529926
104	0.3345995351
105	0.3340514431
106	0.3335995083
107	0.333116523
108	0.332560535
109	0.3313833852
110	0.330708011
111	0.3303859055
112	0.3298100495
113	0.3292752044
114	0.3289492123
115	0.3283731402
116	0.3277562251
117	0.3272143473
118	0.3267289048
119	0.3262099115
120	0.3259149147
121	0.3254047752
122	0.3249533589
123	0.324444014
124	0.3236432097
125	0.3233453308
126	0.3229301854
127	0.3223543005
128	0.3218466085
129	0.3213717903
130	0.3209773064
131	0.3204770649
132	0.3202396727
133	0.3196490404
134	0.3192980882
135	0.3189745928
136	0.318704868
137	0.3184061465
138	0.3177699767
139	0.3174489491
140	0.3169804232
141	0.3167078187
142	0.3162443858
143	0.3158045889
144	0.3155165781
145	0.3151729024
146	0.3149248715
147	0.3145832076
148	0.3142235794
149	0.3136426819
150	0.3133943364
151	0.3130218357
152	0.3128214345
153	0.3123884123
154	0.3121326631
155	0.3117430179
156	0.3111428716
157	0.3107454829
158	0.3104982874
159	0.3102654072
160	0.3098683114
161	0.3096884421
162	0.3094019161
163	0.3091629693
164	0.308846293
165	0.308517282
166	0.308322628
167	0.3080358847
168	0.3078346793
169	0.3075163549
170	0.3071419744
171	0.3068200478
172	0.3065110657
173	0.3063641603
174	0.3058405721
175	0.3056297422
176	0.3052624702
177	0.305048295
178	0.3046616206
179	0.3044207773
180	0.3041873341
181	0.3038839649
182	0.3036839069
183	0.3033869871
184	0.3029590124
185	0.3026937049
186	0.302484199
187	0.3022326319
188	0.3018558495
189	0.3015745522
190	0.3014191795
191	0.3012361953
192	0.3009486574
193	0.3006003952
194	0.3003363084
195	0.3000325286
196	0.2998064772
197	0.2995472831
198	0.2993236707
199	0.2990124836
200	0.2988508859
201	0.2983645505
202	0.2980251648
203	0.2978812062
204	0.297534873
205	0.2971215713
206	0.2968669277
207	0.2964817321
208	0.2961554854
209	0.2958549538
210	0.2955781074
211	0.2951161185
212	0.294950238
213	0.2946966794
214	0.2945018802
215	0.2943861009
216	0.2940504363
217	0.2937999987
218	0.2936206671
219	0.2933792885
220	0.293230999
221	0.293052959
222	0.2927988975
223	0.2926050418
224	0.2924810305
225	0.2923635599
226	0.2921135472
227	0.2919016659
228	0.2917935316
229	0.2913349072
230	0.2910503894
231	0.290761878
232	0.2905423445
233	0.2903827117
234	0.2901624364
235	0.289995496
236	0.2897835162
237	0.289512459
238	0.2893484475
239	0.2890431264
240	0.2889319973
241	0.2885757768
242	0.2883459227
243	0.2881173769
244	0.2879178892
245	0.2877458485
246	0.2875482212
247	0.287361738
248	0.2869608839
249	0.2866973865
250	0.2861824324
251	0.2859937153
252	0.285740272
253	0.2854545682
254	0.2852339808
255	0.2850092761
256	0.2848234783
257	0.2846417712
258	0.2844513544
259	0.2841876386
260	0.2840383144
261	0.2838006989
262	0.2835140432
263	0.2833069741
264	0.283155284
265	0.2830076116
266	0.282575965
267	0.282381251
268	0.2821769558
269	0.2819562519
270	0.2816835539
271	0.281423966
272	0.281202165
273	0.2807769079
274	0.2806323515
275	0.2803595323
276	0.2802275639
277	0.2799933369
278	0.2796379543
279	0.2795240535
280	0.2791793876
281	0.2788674599
282	0.2785880339
283	0.278239156
284	0.2780480442
285	0.2776504382
286	0.277311217
287	0.2769796145
288	0.2768328783
289	0.2766938423
290	0.2765458457
291	0.2764066933
292	0.2761429894
293	0.2759339625
294	0.275747939
295	0.275622887
296	0.2754577255
297	0.2753356312
298	0.2752512913
299	0.2750222955
300	0.2748793487
301	0.2747416019
302	0.2745795541
303	0.2743939327
304	0.2741569786
305	0.273947211
306	0.2736686013
307	0.2733463734
308	0.2731886468
309	0.2729901457
310	0.2727678142
311	0.2726131761
312	0.2723775399
313	0.2722499024
314	0.2719435455
315	0.2716677517
316	0.2710928104
317	0.2710037568
318	0.2707687628
319	0.2704217826
320	0.2701767321
321	0.2699632423
322	0.2695933883
323	0.2692879148
324	0.2690281661
325	0.2687173295
326	0.2685653454
327	0.2680159773
328	0.2678482411
329	0.2675227507
330	0.2674375694
331	0.2673236686
332	0.2671234126
333	0.2669703902
334	0.2668178695
335	0.2666581444
336	0.2664006991
337	0.2661930958
338	0.266017292
339	0.2659222967
340	0.2657388383
341	0.265533907
342	0.2653745636
343	0.2649620001
344	0.2648371054
345	0.2646911446
346	0.2644134735
347	0.2642145235
348	0.2641297347
349	0.2639962659
350	0.2638367748
351	0.2635603521
352	0.2633693328
353	0.2631097809
354	0.2629058062
355	0.2623260275
356	0.2620191508
357	0.261597886
358	0.2614302386
359	0.2609905137
360	0.2608094296
361	0.2605979648
362	0.260285575
363	0.2600384035
364	0.259851961
365	0.2592373458
366	0.258803966
367	0.2587166997
368	0.2584834762
369	0.2583081478
370	0.2582030287
371	0.2578023283
372	0.2575792693
373	0.2573464395
374	0.2571823175
375	0.2569340045
376	0.2566203927
377	0.2564649972
378	0.2562323799
379	0.2560396585
380	0.2558963564
381	0.2557305623
382	0.2556353978
383	0.2554743559
384	0.2552180989
385	0.2551178845
386	0.2549335643
387	0.2547686969
388	0.2546781392
389	0.2545698153
390	0.2542574986
391	0.2541221285
392	0.2537123714
393	0.253561308
394	0.2533044521
395	0.2528315773
396	0.252616395
397	0.2522061242
398	0.2520778757
399	0.2519533087
400	0.2517452912
401	0.2515461671
402	0.251047761
403	0.2509254314
404	0.2505950628
405	0.2504774877
406	0.2502673781
407	0.2500575746
408	0.2498485752
409	0.249653626
410	0.2494920199
411	0.2493486939
412	0.2491952081
413	0.24863007
414	0.248500357
415	0.2481093926
416	0.2479795188
417	0.2473733289
418	0.247093502
419	0.2469378472
420	0.2467543888
421	0.2465403217
422	0.246097794
423	0.2459633253
424	0.2456463429
425	0.2446376112
426	0.2445037054
427	0.2443196529
428	0.2441986329
429	0.2440273184
430	0.2436514999
431	0.243465468
432	0.2433277284
433	0.2430203296
434	0.2426957838
435	0.242381555
436	0.2421969395
437	0.2419381763
438	0.2417957949
439	0.2416047876
440	0.2414773145
441	0.2411586925
442	0.2410358275
443	0.2408553532
444	0.2406955068
445	0.2405594381
446	0.2404063593
447	0.2402513659
448	0.2401493713
449	0.2399337941
450	0.2397899892
451	0.2396809798
452	0.2395543182
453	0.239395102
454	0.2392132473
455	0.2391118757
456	0.239002217
457	0.2386919901
458	0.2385875661
459	0.2384507039
460	0.2382529783
461	0.2381799493
462	0.2380198232
463	0.2377810145
464	0.237666588
465	0.2375605363
466	0.2374756803
467	0.2373248593
468	0.237160268
469	0.2370101072
470	0.2368750239
471	0.2367109859
472	0.2365237273
473	0.2363701059
474	0.2362906148
475	0.2361833784
476	0.2360847328
477	0.235757338
478	0.2353453897
479	0.235259409
480	0.2350300914
481	0.2348179982
482	0.2346683284
483	0.2344377054
484	0.234091191
485	0.2338476829
486	0.2337107577
487	0.2335526387
488	0.2334345121
489	0.2333607533
490	0.2332591572
491	0.2331217273
492	0.2330061401
493	0.232868817
494	0.2327345523
495	0.2325808397
496	0.2324946387
497	0.2324110875
498	0.2323406008
499	0.2322750032
500	0.2321483391
501	0.2319943846
502	0.2318737217
503	0.2316929851
504	0.2315976729
505	0.2312365875
506	0.2310810809
507	0.2308961359
